5,0.5,11.8615,0.980801,21.7216
5,0.5,14.2383,1.10083,23.8719
5,0.5,31.4735,2.77205,41.6657
5,0.5,8.65033,0.672878,17.7122
5,0.5,15.5352,1.14262,24.3032
5,0.5,19.3144,1.9265,27.6288
5,0.5,14.1405,1.05357,23.8224
5,0.5,20.7044,1.66,29.8609
5,0.5,13.2763,1.24697,20.9572
5,0.5,43.3485,2.99089,55.8057
6,0.6,10.7928,0.699882,21.3673
6,0.6,5.06712,0.338253,14.8616
6,0.6,16.5641,1.25094,25.7055
6,0.6,12.4958,1.02766,20.6607
6,0.6,10.0459,0.619482,20.4726
6,0.6,18.9092,1.26978,30.4794
6,0.6,13.1821,0.824098,22.895
6,0.6,4.62378,0.328283,12.5737
6,0.6,32.2744,2.87258,41.8933
6,0.6,6.99016,0.34112,16.7912
7,0.7,10.6067,0.518844,21.1086
7,0.7,24.418,1.53635,35.8244
7,0.7,9.39151,0.61561,19.1869
7,0.7,5.43019,0.330601,14.6918
7,0.7,3.79613,0.151016,14.1823
7,0.7,8.67795,0.592234,16.8062
7,0.7,5.6422,0.395614,14.925
7,0.7,6.18586,0.274366,16.4496
7,0.7,7.9068,0.535307,18.432
7,0.7,14.5451,0.904261,25.8339
8,0.8,8.83188,0.484036,19.5863
8,0.8,3.5287,0.149089,15.2852
8,0.8,10.5184,0.646535,22.411
8,0.8,3.28821,0.128734,11.6053
8,0.8,5.56808,0.24188,16.1855
8,0.8,8.1917,0.51607,17.625
8,0.8,7.14618,0.377987,17.6559
8,0.8,5.17902,0.204324,14.4
8,0.8,5.75218,0.309933,15.9248
8,0.8,3.80205,0.211022,13.1168
9,0.9,4.77644,0.207229,14.8577
9,0.9,10.3735,0.375557,23.17
9,0.9,2.40055,0.126901,9.64248
9,0.9,6.21708,0.261355,17.4595
9,0.9,10.1598,0.533734,23.343
9,0.9,3.36347,0.157887,13.1955
9,0.9,4.26094,0.208073,13.4699
9,0.9,3.47374,0.109606,13.9476
9,0.9,6.73433,0.333627,17.1984
9,0.9,6.13353,0.340998,15.7191
10,1,3.07754,0.103479,12.5378
10,1,5.77524,0.164539,15.8957
10,1,6.04458,0.285897,15.5442
10,1,1.40331,0.0518787,10.7232
10,1,2.42276,0.092274,11.8652
10,1,5.1733,0.213718,16.463
10,1,8.02996,0.453407,18.6914
10,1,6.95802,0.243324,16.7191
10,1,4.86072,0.17196,16.6463
10,1,4.37184,0.214583,13.4614
